50	857
12	47	669
13	2	153
13	4	667
13	6	373
13	10	356
13	12	326
13	14	81
13	15	724
13	21	695
13	22	283
13	26	786
13	27	539
13	29	239
13	30	27
13	31	985
13	32	523
13	33	200
13	42	487
13	43	330
13	44	719
13	46	375
13	49	140
14	0	692
14	5	26
14	6	75
14	12	893
14	15	276
14	16	947
14	19	962
14	29	553
14	36	920
14	37	365
14	39	195
14	40	239
14	43	736
14	45	732
14	47	430
15	1	879
15	4	777
15	9	20
15	10	67
15	11	627
15	13	73
15	16	23
15	17	379
15	19	320
15	20	221
15	21	654
15	24	720
15	30	905
15	33	912
15	36	693
15	42	535
15	43	106
15	44	428
15	46	350
15	49	155
16	1	121
16	5	1
16	7	228
16	15	26
16	18	167
16	19	465
16	23	818
16	26	377
16	27	981
16	29	602
16	30	53
16	31	703
16	32	450
16	35	837
16	37	501
16	38	807
16	43	951
16	45	63
16	48	623
17	4	672
17	5	149
17	7	727
17	10	644
17	13	267
17	15	584
17	19	135
17	20	468
17	24	974
17	26	217
17	29	667
17	32	661
17	37	417
17	42	185
17	43	5
18	5	398
18	7	19
18	9	877
18	20	504
18	26	212
18	32	636
18	33	350
18	35	73
18	37	645
18	38	314
18	41	612
18	44	600
19	1	259
19	4	467
19	6	223
19	11	183
19	14	864
19	20	388
19	21	836
19	22	814
19	27	539
19	30	154
19	31	569
19	34	138
19	40	9
19	41	727
19	43	940
19	49	300
20	4	817
20	6	631
20	8	679
20	9	972
20	11	29
20	12	735
20	15	918
20	16	69
20	21	675
20	23	26
20	24	524
20	39	471
20	46	51
21	0	738
21	3	746
21	4	12
21	6	600
21	8	464
21	11	620
21	12	422
21	13	652
21	16	573
21	18	152
21	25	986
21	26	787
21	27	489
21	30	932
21	32	874
21	33	924
21	45	673
21	49	15
22	2	233
22	11	540
22	14	653
22	15	949
22	16	72
22	24	687
22	26	919
22	30	510
22	34	762
22	35	514
22	37	256
22	38	380
22	41	862
22	43	962
22	44	12
23	3	238
23	6	631
23	10	767
23	11	689
23	12	670
23	13	77
23	14	353
23	15	473
23	17	549
23	20	966
23	24	793
23	25	112
23	34	551
23	36	24
23	39	526
23	40	89
23	43	107
23	45	451
23	47	784
23	48	783
24	4	559
24	9	805
24	10	969
24	14	312
24	15	681
24	16	983
24	23	276
24	25	168
24	27	208
24	29	128
24	31	685
24	33	99
24	35	435
24	36	318
24	37	475
24	38	280
24	41	613
24	44	18
24	45	384
24	48	237
24	49	480
25	3	660
25	5	372
25	7	83
25	9	406
25	10	644
25	11	999
25	13	970
25	15	568
25	16	955
25	18	581
25	22	907
25	26	539
25	27	9
25	28	492
25	29	367
25	32	232
25	35	665
25	37	638
25	38	27
25	40	733
25	41	7
25	42	915
25	46	929
25	48	249
26	2	387
26	5	990
26	8	801
26	9	888
26	10	279
26	17	183
26	21	603
26	24	344
26	25	995
26	27	960
26	28	584
26	33	829
26	37	548
26	38	142
26	45	491
26	46	433
27	5	242
27	7	655
27	12	73
27	13	289
27	15	815
27	17	133
27	19	8
27	21	902
27	22	477
27	24	243
27	33	748
27	37	523
27	38	518
27	39	935
27	44	997
27	46	344
28	0	959
28	1	745
28	5	913
28	7	309
28	10	454
28	13	621
28	15	831
28	17	107
28	18	704
28	19	51
28	21	620
28	24	364
28	25	54
28	26	507
28	33	31
28	36	538
28	38	526
28	39	955
28	45	334
28	48	288
29	0	531
29	3	175
29	4	285
29	7	360
29	11	366
29	12	476
29	13	128
29	14	566
29	17	841
29	20	248
29	22	148
29	23	672
29	26	445
29	27	187
29	32	895
29	33	562
29	37	835
29	38	405
30	0	693
30	1	499
30	7	109
30	9	942
30	10	421
30	12	215
30	13	83
30	17	956
30	22	499
30	24	420
30	28	789
30	34	930
30	40	648
30	41	278
30	46	176
30	49	733
31	1	985
31	4	198
31	5	31
31	7	763
31	8	382
31	15	924
31	19	947
31	24	362
31	25	591
31	26	69
31	34	449
31	36	661
31	39	421
31	40	952
31	41	952
31	42	456
31	46	731
31	47	772
31	49	698
32	1	627
32	2	40
32	3	372
32	7	322
32	8	407
32	9	98
32	11	624
32	20	306
32	25	831
32	26	11
32	27	829
32	28	458
32	31	847
32	36	151
32	37	680
32	39	208
32	41	540
32	42	889
32	45	325
33	5	922
33	7	475
33	10	600
33	12	290
33	13	724
33	17	782
33	22	679
33	26	409
33	28	316
33	38	219
33	40	786
33	41	274
33	43	773
33	45	85
33	46	855
33	47	734
34	0	880
34	1	196
34	3	475
34	5	149
34	9	979
34	11	104
34	14	328
34	18	113
34	23	526
34	26	131
34	28	748
34	29	368
34	30	950
34	33	932
34	36	94
34	41	309
34	45	890
34	46	603
35	3	570
35	7	415
35	10	357
35	13	892
35	17	983
35	18	603
35	19	64
35	20	253
35	24	377
35	25	377
35	32	776
35	34	534
35	37	918
35	38	52
35	42	894
35	45	459
36	0	125
36	1	798
36	2	369
36	9	478
36	16	687
36	17	477
36	20	961
36	22	568
36	23	632
36	34	922
36	41	996
36	43	514
36	44	824
36	49	955
37	0	306
37	2	317
37	3	104
37	5	264
37	12	964
37	13	321
37	19	564
37	20	843
37	25	218
37	31	869
37	35	250
37	39	879
37	42	795
38	0	517
38	6	366
38	7	612
38	8	897
38	14	755
38	16	461
38	17	578
38	18	645
38	19	592
38	24	734
38	29	639
38	32	969
38	35	624
38	37	997
38	39	668
38	41	637
38	46	207
38	47	571
39	7	438
39	9	603
39	10	594
39	12	324
39	15	822
39	16	647
39	17	714
39	19	918
39	21	597
39	30	237
39	33	581
39	37	781
39	41	969
39	46	569
40	9	709
40	10	526
40	12	71
40	13	23
40	16	852
40	20	991
40	21	11
40	24	711
40	29	706
40	31	397
40	35	432
40	36	13
40	42	472
40	43	507
40	44	197
40	45	282
40	46	717
40	47	415
41	2	229
41	3	561
41	6	131
41	9	954
41	10	571
41	11	250
41	17	102
41	18	935
41	20	957
41	24	43
41	29	761
41	31	40
41	32	143
41	33	79
41	36	224
41	40	579
41	45	494
41	47	293
41	48	30
41	49	608
42	1	81
42	2	878
42	5	834
42	11	821
42	14	266
42	21	650
42	25	53
42	26	294
42	27	109
42	30	222
42	32	108
42	35	901
42	37	559
42	40	184
42	41	385
42	43	788
43	9	900
43	11	709
43	14	292
43	15	843
43	17	608
43	18	684
43	19	775
43	25	486
43	27	173
43	36	687
43	41	517
43	42	134
43	45	724
43	48	978
43	49	49
44	2	199
44	3	165
44	13	658
44	15	725
44	16	75
44	19	470
44	23	354
44	32	302
44	37	516
44	38	8
44	39	878
44	43	64
44	46	459
45	1	82
45	3	716
45	5	816
45	6	652
45	10	284
45	11	811
45	15	369
45	19	123
45	20	273
45	21	743
45	22	232
45	23	410
45	26	78
45	28	215
45	31	850
45	37	907
45	39	581
45	44	179
45	47	705
45	48	136
46	0	398
46	1	658
46	2	768
46	4	878
46	5	748
46	6	646
46	8	163
46	10	503
46	14	597
46	15	852
46	18	67
46	19	201
46	23	534
46	29	222
46	35	172
46	36	23
46	38	977
46	39	678
46	40	329
46	41	28
46	44	750
46	47	170
47	1	674
47	2	955
47	4	760
47	7	296
47	9	853
47	15	978
47	21	105
47	22	895
47	26	81
47	33	165
47	35	783
47	40	115
47	41	475
47	43	377
47	46	505
47	49	622
48	2	135
48	3	229
48	4	357
48	5	526
48	6	855
48	9	676
48	12	26
48	15	298
48	17	155
48	21	564
48	26	284
48	31	259
48	32	299
48	38	792
49	5	932
49	6	591
49	13	174
49	15	420
49	17	395
49	18	897
49	22	444
49	24	288
49	27	827
49	28	408
49	29	403
49	33	65
49	34	105
49	39	972
49	41	824
49	42	293
